|------
|KODIKOS_OUSIAS|ONOMA_OUSIAS|ARITHMOS_ASTHENON|ARITHMOS_FARMAKON
|DO-01705|Benzocaine, Dequalinium Chloride|0|1
|DO-07797|Mepivacaine Hydrochloride, Epinephrine|0|10
|DO-00325|Aesculus Hippocastanum L.|0|21
|DO-11972|Zinc Oxide, Cod-Liver Oil, Aluminium Acetate Tartr|0|1
|DO-05033|Ethylmorphine Hydrochloride, Tincture Of Grindelia|0|1
|DO-11355|Triamcinolone Acetonide, Propylene Glycol|0|1
|DO-04466|Dry Extract Of Cistus Incanus Herb (4-9: 1), Extra|0|1
|DO-01922|Bevacizumab|0|33
|DO-10738|Strychnos Nux-Vomica, Petroleum, Nicotiana Tabacum|0|1
|DO-07026|Levomenthol, Mint Oil, Partly Dementholised, Eucal|0|1
|DO-01100|Arnica Montana E Planta Tota Ferm 33c Dil. D5 (Hab|0|2
|DO-03276|Clotrimazole, Zinc Oxide|0|2
|DO-06195|Hydrargyrum Bichloratum Dil D8, Natrium Tetraborac|0|1
|DO-02533|Carbo Betulae, Sulfur Trit. D1|0|1
|DO-09889|Riociguat|0|9
|DO-03655|Cyclamen Purpurascens Dil. D 3, Daphne Mezereum Di|0|1
|DO-00485|Alpha-Tocopherol|0|4
|DO-05193|Factor Viii Inhibitor Bypassing Fraction|0|28
|DO-09272|Potassium Chloride, Sodium Acetate, Sodium Chlorid|0|2
|DO-11515|Urtica Urens D8, Apis Mellifica D12, Lachesis D 12|0|1
|DO-04626|Echinacea Dil. D2, Eucalyptus Globulus Dil. D6, Fo|0|1
|DO-02082|Bryonia C5, Aluminium Oxydatum C5, Myristica Fragr|0|1
|DO-08655|Pancreas Suis D10, Pancreas Suis D200, Pancreas Su|0|1
|DO-10898|Taraxici Herba Cum Radice|0|3
|DO-07186|Liquid Extract From Pelargonium Sidoides Root (Der|0|1
|DO-03436|Compound Rhubarb Tincture Bp, Glycerin Bp, Capsicu|0|2
|DO-06355|Hypericum|0|2
|DO-02693|Ceftriaxone, Lidocaine Hydrochloride|0|9
|DO-10049|Sanguinaria Canadensis Trit. D2, Cimicifuga Racemo|0|1
|DO-03815|Deoxyribonucleic Acid, Interleukin-2, Phosphorus, |0|1
|DO-05608|Ganciclovir|0|41
|DO-05353|Flucloxacillin, Flucloxacillin Sodium Monohydrate|0|1
|DO-09432|Primaquine|0|1
|DO-04786|Epidermophyton Floccosum|0|19
|DO-02242|Calcium Carbonicum Hahnemanni Dil. D 10, Veratrum |0|1
|DO-08815|Pelargonium Sidoides Dc Root Liquid Extract|0|1
|DO-07966|Metyrapone|0|29
|DO-01257|Ascorbic Acid, Cyanocobalamin, Folic Acid, Nicotin|0|3
|DO-03596|Cuprum Aceticum Dil. D6, Drosera Dil. D1, Hyoscyam|0|1
|DO-07349|Lycosa D5, Strychnos Ignatii D4, Valeriana Officin|0|1
|DO-06515|Insulin Glargine|0|34
|DO-02853|Chininum Arsenicosum Dil. D 8, Avena Sativa D4, Ve|0|1
|DO-10209|Silica, Colloidal Anhydrous, Dimeticone 1000|0|2
|DO-03975|Diazepam, Octatropine Methylbromide|0|1
|DO-05768|Glucose, Anhydrous, Glycine, Potassium Dihydrogen |0|2
|DO-09592|Pulsatilla Pratensis Dil. D4, Calcium Iodatum Dil.|0|1
|DO-02402|Calendula, Arnica Ad Usum Externum|0|1
|DO-08975|Phenylephrine Hydrochloride Ph. Eur.|0|4
|DO-00652|Amitriptyline Hydrochloride - Bp|0|2
|DO-08126|Myrrh Tincture|0|3
|DO-01417|Aurum Metallicum Dil. D9, Camphora Dil. D3 Aquos. |0|1
|DO-07509|Magnesium Phosphoricum D8, Aconitum Napellus D4, A|0|1
|DO-06675|Juglans Regia Dil. D3, Natrium Sulfuricum D4, Aran|0|1
|DO-03013|Choline Salicylate Solution Bp|0|1
|DO-00037|5-Aminolevulinic Acid|0|20
|DO-11684|Valine, Histidine, Isoleucine, Leucine, Methionine|0|1
|DO-04135|Diphtheria Toxoid, Tetanus Toxoid, Pertussis, Inac|0|1
|DO-05928|Guaifenesin, Theophylline|0|1
|DO-11067|Thiamine Hydrochloride, Calcium Pantothenate, Nico|0|2
|DO-10450|Sodium Lactate Solution, Potassium Chloride, Sodiu|0|1
|DO-09135|Piroxicam Betadex|0|21
|DO-06738|Kaolin, Heavy, Rhubarb Dry Extract, Senna Leaf Pow|0|1
|DO-00812|Anhydrous Cefadroxil|0|2
|DO-08286|Neomycin, Nystatin, Triamcinolone|0|1
|DO-01577|Bean Mixture|0|2
|DO-07669|Mefloquine Hydrochloride|0|12
|DO-00197|Acidum L(+)-Lacticum Dil. D2|0|1
|DO-11844|Viscum Album Mother Tincture|0|3
|DO-06088|Hepatitis B Surface Antigen, Algeldrate|0|1
|DO-04905|Erythromycin, Tretinoin|0|8
|DO-11227|Tincture From Peppermint Leaves (1:20), Extraction|0|1
|DO-04338|Dry Extract From Arctium Lappa Root, Equivalent To|0|5
|DO-10610|Spaglumic Acid|0|2
|DO-06898|Lavender Oil, Rosemary Oil, Arnicae Flos / Betulae|0|1
|DO-00972|Argatroban Monohydrate|0|19
|DO-08446|Nystatin, Oxytetracycline Hydrochloride|0|1
|DO-03148|Ciprofloxacin Hydrochloride, Fluocinolone Acetonid|0|2
|DO-01737|Benzydamine Hydrochloride, 2,4 Dichlorobenzyl Alco|0|2
|DO-07829|Meropenem Trihydrate|0|73
|DO-09761|Reserpinum D3, Rauwolfia Serpentina D3, Crataegus |0|1
|DO-00357|Agrostis Capillaris L.|0|20
|DO-12004|Zincum Metallicum Dil. D10, Phosphorus Dil. D8, Co|0|1
|DO-05065|Eucalyptus Oil, Pine Needle Oil (Pinus Sylvestris)|0|1
|DO-09144|Pitofenone Hydrochloride, Metamizole Sodium, Fenpi|0|1
|DO-11387|Trimebutine|0|6
|DO-04498|Dry Extract Of Horse-Chestnut Corresponding To 21 |0|6
|DO-01954|Biperiden Hydrochloride|0|35
|DO-08527|Ononis Spinosa D2, Anguilla Anguilla D6, Lespedeza|0|1
|DO-10770|Sulfamethoxazole, Trimethoprim, Potassium Guaiacol|0|1
|DO-07058|Lidocaine Hydrochloride|0|225
|DO-01132|Arnica, Planta Tota Rh Dil. D10, Cor Bovis Dil. D1|0|1
|DO-03308|Cocamidopropyl Betaine|0|1
|DO-06227|Hydrochlorothiazide, Amlodipine Besilate, Candesar|0|2
|DO-02565|Cardiospermum Dil. D3, Galphimia Glauca Dil. D3, L|0|1
|DO-09921|Ropivacaine Hydrochloride|0|146
|DO-03687|Cyproheptadine Pyridoxalphosphate|0|1
|DO-00517|Aluminium Hydroxide, Inactivated Hepatitis A Virus|0|2
|DO-05225|Fennel, Bitter, Plantago Lanceolata, Thyme, Liquor|0|1
|DO-09304|Potassium Chloride, Sodium Chloride, Sodium Lactat|0|2
|DO-11547|Valerian Root Tincture (1:4-5), Extraction Solvent|0|1
|DO-04658|Echinacea Purpurea|0|1
|DO-02114|Bryophyllum Rh Dil. D5, Conchae Dil. D7 Aquos.|0|2
|DO-08687|Paracetamol Bp, Codeine Phosphate Bp|0|4
|DO-10930|Taurolidine|0|1
|DO-07218|Liquid Extract Of Ribwort Plantain Leaf (1:2-2.5),|0|1
|DO-03468|Copper (64cu) Oxodotreotide|0|3
|DO-06387|Hypericum, Flos, Ol. Sesami Extr. 1:2|0|1
|DO-02725|Cerebrum Totalis Suis D10, Cerebrum Totalis Suis D|0|1
|DO-10081|Scrophularia Nodosa Dil. D3, Acidum Lacticum D4, N|0|2
|DO-03847|Desonide|0|8
|DO-05640|Gelsemium Sempervirens Dil. D 6, Echinacea Dil. D3|0|1
|DO-05385|Flunarizine Hydrochloride|0|7
|DO-09464|Procyclidine Hydrochloride Bp|0|3
|DO-04818|Eprosartan Mesilate, Hydrochlorothiazide|0|12
|DO-02274|Calcium Chloride, Sodium Lactate Solution, Potassi|0|1
|DO-07998|Milk Thistle Dry Extract (25-40:1)|0|1
|DO-01289|Ascorbic Acid, Paracetamol, Phenylephrine|0|1
|DO-03628|Cyamemazine|0|7
|DO-07381|Magnesium|0|39
|DO-06547|Iodinated (125i) Human Serum Albumin|0|1
|DO-02885|Chlorhexidine Digluconate Solution, Methyl Parahyd|0|1
|DO-10241|Silybum Marianum Fruit, Cryoground|0|1
|DO-04007|Dienogest|0|114
|DO-05800|Glycerol, Ipecacuanha Fluid Extract|0|1
|DO-09624|Pyridoxine Hydrochloride|0|39
|DO-02434|Camphor, Racemic, Zinc Oxide, Ichthammol|0|1
|DO-00684|Amlodipine, Lisinopril|0|28
|DO-08158|Naloxone Hydrochloride Dihydrate, Buprenorphine Hy|0|1
|DO-01449|Auszug Aus Keuschlammfrüchten (7,9-8,8:1) Auszugsm|0|1
|DO-07541|Malathion|0|3
|DO-03045|Ciclopirox Olamine|0|57
|DO-00069|Acarus Siro Extract|0|2
|DO-11716|Vardenafil Hydrochloride|0|8
|DO-04167|Disodium Phosphate Dihydrate, Potassium Dihydrogen|0|1
|DO-05960|Halcinonide|0|1
|DO-11099|Thioridazine Hydrochloride|0|1
|DO-10482|Sodium Picosulfate Anhydrous|0|4
|DO-06770|L-Isoleucine, L-Leucine, L-Valine|0|1
|DO-00844|Anthoxanthum Odoratum L.|0|37
|DO-08318|Nicergoline|0|20
|DO-01609|Belladonna D6, Chamomilla D 6, Ferrum Phosphoricum|0|4
|DO-07701|Melissa Leaf, Passiflorae Herba, Menthae Piperitae|0|2
|DO-00229|Acidum Silicicum Dil. D 10, Calcium Phosphoricum D|0|2
|DO-11876|Vitex Agnus-Castus Mother Tincture|0|1
|DO-04937|Esomeprazole Sodium|0|19
|DO-11259|Tipranavir|0|4
|DO-04370|Dry Extract From Fresh Horse Chestnut Seeds Corres|0|2
|DO-10642|Stannous Chloride Dihydrate, Sodium Pyrophosphate |0|2
|DO-06930|Leptospira Icterohaemorrhagiae Inactivated|0|2
|DO-01004|Argentum Metallicum Praeparatum Trit. D1|0|1
|DO-08478|Okoubaka Aubrevillei D3, Croton Tiglium D6, Veratr|0|1
|DO-03180|Citrullus Colocynthis Dil. D6, Carbo Vegetabilis D|0|1
|DO-01769|Berberis Vulgaris Dil. D2|0|1
|DO-06099|Hexamidine Diisetionate|0|35
|DO-07861|Metaraminol Bitartrate|0|1
|DO-02437|Camphor, Siberian Fir Oil, Menthol Ph. Eur.|0|2
|DO-09793|Retinol Palmitate, Ergocalciferol, Phytomenadione,|0|43
|DO-00389|Alfacalcidol|0|101
|DO-12036|[hab, V. 4a, Urt. Mit Ethanol 86 % (M/M)], Strychn|0|1
|DO-05097|Euspongia Officinalis D3, Calcium Carbonicum Hahne|0|1
|DO-09176|Plantago Major Ø, Echinacea Angustifolia Mother Ti|0|2
|DO-11419|Triticum Aestivum, Phleum Pratense, Holcus Lanatus|0|2
|DO-04530|Dry Extract Of Passionflower Herb (2:1), Extractio|0|1
|DO-01986|Bitter Candytuft Fresh Plant Extract, Matricaria L|0|18
|DO-08559|Os Suis D10, Os Suis D200, Os Suis D30|0|1
|DO-10802|Sulfur Dil. D6, Pulsatilla Dil. D4, Rhus Toxicoden|0|1
|DO-07090|Lidocaine Hydrochloride Monohydrate, Phenazone|0|1
|DO-01164|Artemisia Absinthium Ø, Semecarpus Anacardium Dil.|0|1
|DO-03340|Codeine Phosphate Hemihydrate, Potassium Guaiacols|0|1
|DO-06259|Hydrocortisone Acetate, Lidocaine, Zinc Oxide|0|1
|DO-02597|Caryophylli Floris Aetheroleum|0|1
|DO-09953|Rufloxacin Hydrochloride|0|1
|DO-03719|Dacarbazine|0|28
|DO-05512|Fosfomycin Sodium|0|1
|DO-00549|Aluminium Phosphate, Diphtheria Toxoid Adsorbed On|0|11
|DO-05257|Ferric Sodium Gluconate Complex|0|1
|DO-09336|Potassium Iodide|0|85
|DO-04690|Efinaconazole|0|2
|DO-02146|Buprenorphine, Naloxone Hydrochloride Dihydrate|0|1
|DO-08719|Paracetamol, Ibuprofen Sodium|0|1
|DO-10962|Tenofovir Alafenamide|0|5
|DO-07250|Lithium Gluconate|0|3
|DO-03500|Coriander, Menyanthidis Trifoliatae Folium, Fennel|0|1
|DO-06419|Ibuprofen, Levomenthol|0|22
|DO-02757|Cetylpyridinium Chloride|0|15
|DO-10113|Selenium Dil. D 10, Kalium Phosphoricum Dil. D30, |0|1
|DO-03879|Dexamethasone Sodium Phosphate Ph. Eur., Netilmici|0|1
|DO-05672|Genetically Detoxified Pertussis Toxin, Filamentou|0|1
|DO-05417|Fluoxetine|0|173
|DO-09496|Propolis, Caffeic Acid, Chrysin|0|1
|DO-04850|Equisetum Arvense, Ethanol. Decoctum Dil. D15, Arn|0|1
|DO-02306|Calcium Glycerophosphate, Ferric Ammonium Citrate,|0|1
|DO-08879|Perflutren|0|5
|DO-08030|Mitapivat|0|4
|DO-01321|Aspergillus Niger E Volumine Cellulae (Lyophil., S|0|1
|DO-07413|Magnesium Chloride Hexahydrate, Potassium Chloride|0|1
|DO-06579|Iproniazid Phosphate|0|1
|DO-02917|Chlorhexidine Gluconate, Isopropyl Alcohol Ph. Eur|0|2
|DO-11588|Valganciclovir Hydrochloride|0|98
|DO-10273|Sitagliptin|0|507
|DO-04039|Dihydrocodeine Tartrate, Benzoic Acid|0|1
|DO-05832|Glycine, L-Lysine Acetate, L-Tryptophan, L-Arginin|0|2
|DO-10971|Terazosin Hydrochloride|0|7
|DO-09656|Quetiapine Fumarate|0|106
|DO-10354|Sodium Citrate, Monosodium Citrate|0|1
|DO-09039|Phospholipids|0|1
|DO-00716|Ammonium Persulfate|0|1
|DO-08190|Naproxen|0|153
|DO-01481|Axicabtagene Ciloleucel|0|4
|DO-07573|Mannitol, Potassium Chloride, Sodium Chloride|0|1
|DO-00101|Acetylcysteine, Glutamic Acid, Glycine, N-Acetylty|0|1
|DO-11748|Veratrum Album Dil. D 4, Camphora Dil. D4, Nitrogl|0|1
|DO-04199|Disulfiram|0|22
|DO-05992|Harpagophytum Procumbens Root, Cryoground|0|1
|DO-11131|Thymol, Thymi Extractum Fluidum|0|1
|DO-10514|Soft Extract From Birch Leaf (4-8:1), Extraction S|0|1
|DO-06802|Lachesis Mutus Trit. D8, Baptisia Trit. D4, Bryoni|0|1
|DO-00876|Apis Mellifica D4, Belladonna D4, Hydrargyrum Bich|0|1
|DO-08350|Nilotinib Hydrochloride Monohydrate|0|3
|DO-03052|Cilastatin, Imipenem|0|52
|DO-01641|Bendroflumethiazide, Amiloride Hydrochloride Dihyd|0|1
|DO-07733|Menthae Piperitae Folium, Centaurii Herba, Malvae |0|1
|DO-00261|Aconitum Napellus Dil. D12, Hydrargyrum Bicyanatum|0|1
|DO-11908|Whiting|0|6
|DO-04969|Ethambutol Hydrochloride|0|27
|DO-11291|Tolnaftate Bp, Benzalkonium Chloride Solution Bp|0|1
|DO-04402|Dry Extract From Milk Thistle Fruit (30-40:1), Ext|0|2
|DO-01858|Bethanechol Chloride|0|7
|DO-10674|Stibium Metallicum Praeparatum Trit. D6|0|1
|DO-06962|Levocloperastine Fendizoate|0|3
|DO-01036|Arisaema Triphyllum D4, Mercurius Solubilis Hahnem|0|1
|DO-08510|Olopatadine Hydrochloride|0|8
|DO-03212|Clindamycin Hydrochloride Monohydrate|0|2
|DO-01801|Betacarotene|0|1
|DO-06131|Hordei Farina|0|1
|DO-07893|Methenamine Hippurate|0|22
|DO-02469|Cangrelor Tetrasodium|0|4
|DO-09825|Rheum, Matricaria Recutita, Phytolacca Americana|0|1
|DO-00421|Allergen Extract Mixtures|0|1
|DO-05129|Extract From Fresh Garlic Bulbs (2-3:1), Extractio|0|1
|DO-09208|Policresulen|0|2
|DO-11451|Trypsin, Chymotrypsin, Papain, Pancreas Powder, Br|0|1
|DO-04562|Dry Extract Of Urticae Radix (6-11:1), Extracting |0|1
|DO-02018|Bortezomib|0|256
|DO-08591|Oxybenzone|0|2
|DO-10834|Symphytum Officinale D8, Acidum Silicicum Dil. D12|0|3
|DO-07122|Linagliptin, Empagliflozin|0|4
|DO-01196|Arum Maculatum D12, Argentum Nitricum D12, Calcium|0|1
|DO-03372|Colchicinum D8, Artemisia Abrotanum D4, Berberis V|0|1
|DO-06291|Hydrocortisone, Lidocaine|0|1
|DO-02629|Causticum Hahnemanni Dil. D4, Solidago Virgaurea D|0|2
|DO-09985|Saccharomyces Minor L. Engel, Whole|0|4
|DO-03751|Daphne Mezereum Dil. D 4, Rhus Toxicodendron Dil. |0|1
|DO-05544|Fruquintinib|0|4
|DO-00581|Amantadine|0|2
|DO-05289|Ferrum Phosphoricum Dil. D 10, Filipendula Ulmaria|0|1
|DO-09368|Pravastatin|0|3
|DO-04722|Empagliflozin|0|62
|DO-02178|Cactus Mother Tincture, Strophanthus Gratus Dil. D|0|1
|DO-08751|Parathyroid Hormone|0|4
|DO-07282|Loprazolam Mesilate|0|2
|DO-03532|Crataegi Folium Cum Flore|0|18
|DO-06451|Imatinib Mesilate|0|16
|DO-02789|Chamomilla Recutita E Radice Ferm 33c Dil. D2 (Hab|0|1
|DO-10145|Sennae Folium, Senna Pods|0|2
|DO-03911|Dexketoprofen Trometamol, Tramadol Hydrochloride|0|3
|DO-05704|Ginger Powder|0|1
|DO-05449|Fluvastatin|0|25
|DO-09528|Prunus Spinosa E Floribus Et Summitatibus Ferm Cum|0|1
|DO-02338|Calcium Pantothenate, Thiamine Nitrate, Keratin, S|0|1
|DO-08911|Petasites Hybridus E Radice Ferm 33c Dil. D2 (Hab,|0|2
|DO-08062|Mometasone Furoate, Olopatadine|0|18
|DO-01353|Atosiban Acetate|0|2
|DO-07445|Magnesium Chloride Hexahydrate, Potassium Chloride|0|1
|DO-06611|Isometheptene Mucate, Paracetamol|0|2
|DO-10383|Sodium Fluoride (18f)|0|24
|DO-09068|Phytomenadione|0|42
|DO-00745|Ampicillin Sodium, Sulbactam Sodium, Lidocaine Hyd|0|1
|DO-08219|Natrium Phosphoricum Dil. D4, Atropa Bella-Donna S|0|1
|DO-01510|Bacampicillin Hydrochloride|0|1
|DO-07602|Matricaria Liquid Extract, Peppermint Oil, Anise O|0|1
|DO-00130|Acetylsalicylic Acid, Ticagrelor|0|24
|DO-11777|Vilobelimab|0|4
|DO-04228|Docusate Sodium, Sorbitol, Liquid (Non-Crystallisi|0|3
|DO-06021|Helleborus Foetidus D3 Aquos.|0|1
|DO-11160|Tigecycline|0|106
|DO-04271|Doxycycline Bp|0|2
|DO-10543|Soft Extract Of Thyme (3.5-4.5: 1), Extraction Sol|0|1
|DO-06831|Lactobacillus Rhamnosus 573 Rods|0|1
|DO-00905|Apis Mellifica Dil. D4, Teucrium Marum Dil. D4, Th|0|1
|DO-08379|Nitrogen, Oxygen|0|2
|DO-03081|Cimicifuga Racemosa Dil. D 2, Strontium Carbonicum|0|1
|DO-01670|Benzalkonium Chloride, Ethanol (96 Per Cent)|0|3
|DO-07762|Menthol, Camphor, Eucalyptus Oil, Thymol, Turpenti|0|4
|DO-00290|Adenosine|0|65
|DO-11937|Zanubrutinib|0|3
|DO-04998|Ethanol, Povidone, Iodinated|0|4
|DO-11320|Tramadol Hydrochloride, Dexketoprofen|0|42
|DO-04431|Dry Extract From Saw Palmetto Fruit (8-11:1), Extr|0|1
|DO-01887|Betula, Corylus Avellana, Alnus, Aluminium Hydroxi|0|1
|DO-10703|Strophantus Gratus D12, Argentum Nitricum D15|0|1
|DO-06991|Levomenthol, Camphor, Racemic, Acetylsalicylic Aci|0|1
|DO-01065|Arnica Montana Dil. D 2, Rhus Toxicodendron Dil D2|0|1
|DO-03241|Clomethiazole Edisilate|0|6
|DO-06160|Human Coagulation Factor Xiii|0|22
|DO-02498|Captopril, Hydrochlorothiazide|0|23
|DO-09854|Rhus Toxicodendron Mother Tincture, Symphytum Ad U|0|2
|DO-00450|Allium Sativum Bulb|0|1
|DO-05158|Extract Of Fresh Opium Poppy (1:2.2-2.7), Extracti|0|1
|DO-09237|Polysorbate 80, Squalene, Split Influenza Virus (I|0|4
|DO-11480|Ubidecarenonum D12, Ubidecarenonum D200, Ubidecare|0|1
|DO-04591|Duloxetine|0|276
|DO-02047|Brivudine|0|17
|DO-08620|Ozenoxacin|0|3
|DO-10863|Talquetamab|0|4
|DO-07151|Liquid Extract (1:2) From Valerian Root, Melissa H|0|1
|DO-03401|Colecalciferol, Ibandronic Acid|0|1
|DO-06320|Hydroxychloroquine Sulphate Bp|0|2
|DO-02658|Cefixime Trihydrate|0|40
|DO-10014|Salicylic Acid, Sodium Iodide|0|1
|DO-03780|Decitabine, Cedazuridine|0|4
|DO-05573|Fusidic Acid Hemihydrate|0|11
|DO-05318|Festuca Pratensis Hudson|0|20
|DO-09397|Prenoxdiazin Hydrochloride|0|3
|DO-04751|Encorafenib|0|4
|DO-02207|Calcium Ascorbate|0|1
|DO-08780|Passiflora Incarnata Dry Extract|0|4
|DO-07931|Methylprednisolone Acetate, Lidocaine Hydrochlorid|0|2
|DO-01222|Ascorbic Acid, Betacarotene, Biotin, Colecalcifero|0|1
|DO-03561|Crataegus Oxyacantha|0|1
|DO-07314|Luffa Operculata Trit. D4|0|2
|DO-06480|Indium (111in) Chloride|0|9
|DO-02818|Chelidonium Majus E Floribus Ferm 34b Ø (Hab, Vs. |0|1
|DO-10174|Serenoa Repens Sterol Lipid Extract|0|1
|DO-03940|Dextromethorphan Hydrobromide, 2,4 Dichlorobenzyl |0|1
|DO-05733|Glandula Suprarenalis Suis D10, Hypophysis Suis D1|0|1
|DO-05478|Fondaparinux Sodium|0|12
|DO-09557|Psychotria Ipecacuanha D3, Gelsemium D3, Aconitum |0|1
|DO-02367|Calcium, Glucose, Magnesium, Chloride Ion, Acetate|0|1
|DO-08940|Phenobarbital, Ethyl 2-Bromoisovalerate|0|1
|DO-00617|Amcinonide|0|2
|DO-08091|Mucopolysaccharides|0|2
|DO-01382|Atropa Belladonna E Radice Ferm 33b Dil. D11 (Hab,|0|1
|DO-07474|Magnesium Hydroxide Ph. Eur.|0|1
|DO-02978|Chlorphenamine Maleate, Phenylephrine Hydrochlorid|0|1
|DO-00002|(R)-Alpha-Glycerophosphorylethanolamine Monohydrat|0|1
|DO-11649|Valine, Alanine, Arginine, Histidine, Isoleucine, |0|1
|DO-10334|Sodium Chloride, Glucose Monohydrate, Magnesium Su|0|1
|DO-04100|Diphenhydramine Hydrochloride Ph. Eur., Paracetamo|0|2
|DO-05893|Graphites Dil. D14 Aquos., Rosa E Floribus Ferm Cu|0|1
|DO-11032|Tetrafluoroborate|0|11
|DO-09717|Rasburicase|0|4
|DO-10415|Sodium Hydrogen Carbonate, Magnesium Chloride Hexa|0|72
|DO-09100|Pioglitazone Hydrochloride, Glimepiride|0|4
|DO-06703|Kalium Chloratum D2, Baptisia Tinctoria D1, Ammoni|0|1
|DO-08251|Neisseria Meningitidis, Serogroup C, Polysaccharid|0|4
|DO-01542|Bacitracin, Polymyxin B Sulfate|0|2
|DO-07634|Measles Virus Schwarz Strain (Live, Attenuated), M|0|29
|DO-00162|Acidum Arsenicosum Dil. D6, Daphne Mezereum Dil. D|0|1
|DO-11809|Viscum Album (Tiliae) E Planta Tota K Dil. Stärke |0|1
|DO-04260|Doxazosin Mesilate, Finasteride|0|2
|DO-06053|Heparan Sulphate|0|1
|DO-11192|Timolol, Tafluprost|0|36
|DO-04303|Drosera D12, Drosera D3, Drosera D6|0|1
|DO-10575|Somatostatin|0|28
|DO-06863|Lapatinib|0|19
|DO-00937|Aprepitant|0|94
|DO-08411|Norepinephrine|0|40
|DO-03113|Cinchocaine Hydrochloride, Policresulen|0|5
|DO-01702|Benzocaine, Cetylpyridinium Chloride|0|2
|DO-07794|Mepiphylline|0|1
|DO-00322|Aesculus Hippocastanum E Semine Ferm 34c Dil. D49 |0|1
|DO-11969|Zinc Oxide, Calamine|0|5
|DO-05030|Ethylmorphine Hydrochloride|0|3
|DO-11352|Triamcinolone Acetonide, Chlorquinaldol|0|1
|DO-04463|Dry Extract Of Birch Leaf (4-8:1), Extraction Solv|0|1
|DO-01919|Betulae Folium, Solidago Virgaurea, Orthosiphon Fo|0|2
|DO-10735|Strychnos Nux-Vomica Dil. D4, Veronica Virginica D|0|1
|DO-07023|Levomenthol, Melissa Leaf, Anise Oil, Citronella O|0|1
|DO-01097|Arnica Montana E Planta Tota Ferm 33c Dil. D29 (Ha|0|2
|DO-03273|Clotrimazole, Hexamidine Diisetionate|0|7
|DO-02530|Carbinoxamine Maleate, Ammonium Chloride, Codeine |0|1
|DO-09886|Rilzabrutinib|0|4
|DO-00482|Alpha-Hexylcinnamaldehyde, Citral, Coumarin, 4-(4-|0|1
|DO-05190|Ezetimibe, Rosuvastatin|0|154
|DO-09269|Potassium Chloride, Glucose|0|28
|DO-11512|Urtica Root Dry Extract|0|1
|DO-04623|Echinacea Dil. D2, Cinchona Pubescens Dil. D6, Atr|0|1
|DO-02079|Bryonia C3, Pulsatilla Vulgaris C6, Rumex Crispus |0|4
|DO-08652|Pancreas Powder|0|48
|DO-10895|Taraxacum Stanno Cultum Rh Dil. D2|0|1
|DO-07183|Liquid Extract From Nettle Herb (1:1), Extraction |0|1
|DO-03433|Coltura Liofilizzata Di Ceppo Selezionato Di Bacil|0|2
|DO-06352|Hyperici Herbae Tinctura (1:5), Tinctura Amara, Va|0|1
|DO-02690|Ceftriaxone Disodium Salt Hemiheptahydrate, Lidoca|0|2
|DO-10046|Sanguinaria Canadensis D8, Phytolacca Americana D2|0|1
|DO-03812|Deoxyribonucleic Acid, Interferon Gamma, Interleuk|0|1
|DO-05605|Gamma-Aminobutyric Acid, Magnesium Glutamate Hydro|0|1
|DO-05350|Flucloxacillin Sodium|0|36
|DO-09429|Prilocaine Hydrochloride|0|33
|DO-04783|Ephedrine Sulfate|0|1
|DO-02239|Calcium Carbonicum Hahnemanni Dil. D 10, Matricari|0|1
|DO-08812|Pelargonium Root Liquid Extract, Dried|0|1
|DO-07963|Metronidazole Bp|0|2
|DO-01254|Ascorbic Acid, Colecalciferol, Cyanocobalamin, Fol|0|1
|DO-03593|Cuprum Aceticum Dil. D3, Zincum Isovalerianicum Di|0|1
|DO-07346|Lycopodium Trit. D2, Picrasma Excelsa, Quassia Ama|0|1
|DO-06512|Insulin Aspart, Insulin Degludec|0|9
|DO-02850|China, Ethanol. Decoctum Dil. D3, Coccus Cacti Dil|0|1
|DO-10206|Silibinin|0|2
|DO-03972|Diazepam Ph. Eur.|0|2
|DO-05765|Glucose Monohydrate Ph. Eur.|0|1
|DO-09589|Pulsatilla Pratensis Dil. D1000, Pulsatilla Praten|0|1
|DO-02399|Calendula Officinalis Mother Tincture|0|10
|DO-08972|Phenylbutazone, Prednisolone|0|1
|DO-00649|Amisulpride|0|108
|DO-08123|Myristica Fragrans D12, Scutellaria Lateriflora D6|0|1
|DO-01414|Aurum Metallicum Dil. D5, Camphora Dil. D3 Aquos. |0|1
|DO-07506|Magnesium Phosphoricum D15, Rhus Toxicodendron D8,|0|1
|DO-06672|Josamycin Propionate|0|1
|DO-03010|Choline Alfoscerate|0|6
|DO-00034|4-Tert-Butylphenol|0|1
|DO-11681|Valine, Arginine Glutamate, Alanine, Isoleucine, L|0|9
|DO-04132|Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoi|0|4
|DO-05925|Guaifenesin, Paracetamol, Phenylephrine|0|2
|DO-11064|Thiamine Hydrochloride, Ascorbic Acid, Nicotinamid|0|3
|DO-10447|Sodium Lactate Solution, Magnesium Chloride Hexahy|0|1
|DO-09132|Piritramide|0|9
|DO-06735|Kaolin, Heavy, Albumin Tannate, Bismuth Subgallate|0|1
|DO-08283|Neomycin, Fluocinolone Acetonide|0|1
|DO-01574|Bcg (Bacillus Calmette-Guérin) Bacteria|0|5
|DO-07666|Mefenamic Acid|0|36
